ID,Main,Faction,Server,Role,Class,Race,Max,Type
001,Female,Alliance,PvE,DPS,Hunter,Draenei,2,Bi female
002,Female,Horde,RP,Healer,Druid,Troll,2,Gay other
003,Female,Horde,PvE,DPS,Druid,Troll,2,Bi female
004,Female,Alliance,PvE,Healer,Priest,Night Elf,2,Gay man
005,Female,Alliance,PvE,Healer,Priest,Night Elf,4,Straight man
006,Both equally,Both equally,PvP,Healer,Hunter;Rogue,Dwarf;Night Elf;Draenei,6,Bi female
007,Female,Alliance,PvE,DPS;Healer,Shaman,Draenei,3,Straight man
008,Female,Horde,PvE;PvP,DPS;Tank,Death Knight;Demon Hunter;Paladin,Blood Elf,6,Bi female
009,Male,Horde,PvE,DPS;Healer,Shaman;Warlock;Warrior,Tauren,3,Bi other
010,Female,Horde,PvE;PvP;RP,DPS;Tank,Monk;Warrior,Pandaren,1,Gay woman
011,Male,Horde,RP,DPS,Monk,Blood Elf,1,Gay man
012,Both equally,Alliance,PvE,Tank;Healer,Monk;Shaman;Warlock,Gnome;Draenei,5,Straight man
013,Male,Alliance,PvE,DPS,Hunter,Human,2,Straight man
014,Female,Alliance,PvE,DPS;Tank;Healer,Druid;Hunter;Monk;Paladin;Shaman,Human;Night Elf;Draenei,5,Straight man
015,Female,Alliance,PvE,DPS;Tank,Death Knight;Hunter;Paladin,Night Elf;Blood Elf,1,Bi female
016,Female,Horde,PvE,DPS;Healer,Druid;Hunter;Monk;Paladin;Priest;Rogue;Shaman;Warlock;Warrior,Dwarf;Gnome;Pandaren;Orc;Blood Elf;Goblin,5,Straight woman
017,Female,Horde,PvE;RP,DPS,Death Knight;Priest,Goblin,3,Bi male
018,Female,Horde,PvE;PvP;RP,DPS,Druid;Mage;Priest,Undead;Troll;Blood Elf,6,Gay woman
019,Female,Both equally,PvP,DPS;Healer,Demon Hunter;Priest,Human;Night Elf;Blood Elf,2,Gay woman
020,Male,Horde,PvP,DPS,Death Knight;Demon Hunter,Blood Elf,1,Gay man
021,Female,Alliance,PvP,DPS;Healer,Death Knight;Druid;Shaman,Night Elf;Draenei,4,Gay woman
022,Female,Alliance,PvP,DPS,Death Knight;Druid;Hunter,Night Elf;Draenei,0,Bi other
